"producto","presentacion","marca","categoria","catalogo","precio","fechaRegistro","cadenaComercial","giro","nombreComercial","direccion","estado","municipio","latitud","longitud"
"JABON DE TOCADOR","BARRA 180 GR. ANTIBACTERIAL VITAMINA E (ROSA)","ESCUDO","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",8.6,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"RASTRILLOS DESECHABLES","PAQUETE CON 2. PRESTO BARBA. ULTRA GRIP. MOVIL","GILLETTE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",25.15,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"SHAMPOO","BOTELLA 800 ML. CON PROTEINA. CON ACONDICIONADOR. SUAVE","MENNEN","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",38.1,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"ACONDICIONADOR / ENJUAGUE","BOTELLA 400 ML. PROTECCION CAIDA","HEAD & SHOULDERS","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",44.59,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"SALSA DE SOYA","BOTELLA 175 ML. ETIQUETA ROJA","PASA","CONDIMENTOS","BASICOS",10.98,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"DETERGENTE P/ROPA","BOTELLA 1 LT. LIQUIDO","MAS COLOR","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",31.8,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"DETERGENTE P/TRASTES","BOLSA 900 GR. POLVO. (VERDE). LIMA-LIMON","AXION","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",16.25,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LIMPIADOR LIQUIDO P/PISO","BOTELLA 1 LT. MULTIUSOS","AJAX AMONIA","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",15.15,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LIMPIADOR LIQUIDO P/PISO","BOTELLA 1 LT. MULTIUSOS .FRESCA LAVANDA O MAR FRESCO","FABULOSO","DETERGENTES Y PRODUCTOS SIMILARES","MERCADOS",14.6,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"DETERGENTE P/ROPA Y TRASTES","BOLSA 1 KG. POLVO","ROMA","DETERGENTES Y PRODUCTOS SIMILARES","BASICOS",20.93,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"CONCENTRADO DE POLLO","PAQUETE 500 GR. CONSOME","SOLO DOÑA MARIA","CONDIMENTOS","BASICOS",22.05,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"MAYONESA","FRASCO 790 GR. ESPESITA Y CON JUGO DE LIMON","HELLMANN S","CONDIMENTOS","BASICOS",33.45,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"MAYONESA","FRASCO 395 GR. ADEREZO DE MAYONESA","HELLMANN S LIGHT","CONDIMENTOS","BASICOS",19.4,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"SALSA CATSUP","BOTELLA 340 GR.","CLEMENTE JACQUES","CONDIMENTOS","BASICOS",9.35,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"SALSA PICANTE","BOTELLA 60 ML.","TABASCO","CONDIMENTOS","MERCADOS",26.15,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"SALSA PICANTE","BOTELLA 380 GR. (PLASTICO). PARA BOTANAS","BUFALO","CONDIMENTOS","BASICOS",5.1,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"HABA","BOLSA 500 GR. PELADA","VERDE VALLE","LEGUMBRES SECAS","BASICOS",20.45,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"CHILES EN LATA","LATA 105 GR. SERRANO","LA COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","MERCADOS",3.14,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"CHILES EN LATA","LATA 220 GR. JALAPENOS EN ESCABECHE","LA COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",5,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"CHILES EN LATA","LATA 220 GR. JALAPENOS RAJAS","CLEMENTE JACQUES","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",5.75,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"COCTEL DE FRUTAS EN ALMIBAR","LATA 850 GR.","LA COSTENA","FRUTAS Y LEGUMBRES PROCESADAS","BASICOS",29.65,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"JUGO DE FRUTA","CAJA 1 LT. NARANJA","DEL VALLE","REFRESCOS ENVASADOS","BASICOS",13.8,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LECHE ULTRAPASTEURIZADA","PARCIALMENTE DESCREMADA. CAJA 1 LT.","ALPURA 2000. LIGHT","LECHE PROCESADA","BASICOS",12.95,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LECHE ULTRAPASTEURIZADA","PARCIALMENTE DESCREMADA. CAJA 1 LT.","LALA. LIGHT","LECHE PROCESADA","BASICOS",12.45,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LECHE ULTRAPASTEURIZADA","DESCREMADA. CAJA 1 LT.","LALA. SILUETTE PLUS 0%","LECHE PROCESADA","BASICOS",14.25,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LECHE ULTRAPASTEURIZADA","CAJA 1 LT. SEMIDESCREMADA","LALA. SEMIDESCREMADA","LECHE PROCESADA","BASICOS",12.45,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"MARGARINA","CAJA PLASTICO 190 GR. CON SAL","PRIMAVERA CHANTILLY","ACEITES Y GRASAS VEG. COMESTIBLES","BASICOS",12.5,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
