producto|presentacion|marca|categoria|catalogo|precio|fecharegistro|cadenacomercial|giro|nombrecomercial|direccion|estado|municipio|latitud|longitud
toalla de papel|paquete 2 rollos 60 hojas dobles|vogue|arts de papel p/higiene personal|basicos|1991|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
toalla femenina|bolsa 14 piezas con manzanilla, flujo moderado con alas|naturella|arts de papel p/higiene personal|basicos|218|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
toalla femenina|bolsa 16 piezas natural flex anatomica con alas|kotex|arts de papel p/higiene personal|basicos|2705|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
pa~nales desechables|paquete 38 piezas etapa 4 ni~na|huggies ultra confort|arts de papel p/higiene personal|basicos|1486|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
pa~nales desechables|paquete 40 piezas talla 4|chicolastic classic|arts de papel p/higiene personal|basicos|985|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
acondicionador / enjuague|botella 400 ml control caida|pantene|arts para el cuidado personal|basicos|4385|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
dilacoran retard|caja con 30 tabletas de 120 mg|abbott laboratories de mexico, sa de cv|medicamentos|medicamentos|27258|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
crema liquida|botella 400 ml piel seca agua de rosas + aceite de aguacate|palmolive hydra natura|arts para el cuidado personal|basicos|42|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
crema liquida|botella 420 ml clasica piel seca|hinds|arts para el cuidado personal|basicos|3291|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
desodorante|roll on 65 ml neutro balance (botella transparente)|palmolive|arts para el cuidado personal|basicos|215|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
desodorante|barra 56 gr fresh power 24 h ice dive|adidas|arts para el cuidado personal|basicos|325|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
ciruela pasa|1 kg granel|s/m|productos de temporada (navidedos)|mercados|499|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
naxen|caja con 45 tabletas de 500 mg|syntex, sa de cv|medicamentos|medicamentos|35325|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
klaricid hp|caja con 10 tabletas de 500 mg|abbott laboratories de mexico, sa de cv|medicamentos|medicamentos|41944|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
tegretol|caja con 30 comprimidos de  200 mg|sin marca|medicamentos|medicamentos|2009|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
zovirax|caja con frasco suspension con 60 ml 200 mg/5 ml sabor platano|glaxo wellcome mexico, sa de cv|medicamentos|medicamentos|17147|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
bisolvon adulto|caja con frasco con 100 ml solucion|sin marca|medicamentos|medicamentos|1045|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
inderalici|caja con 42 tabletas de 10 mg|astrazeneca, sa de cv|medicamentos|medicamentos|5628|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
televisores|kdl-40ex401 color 40 plgs pantalla cristal liquido|sony bravia|aparatos electronicos|electrodomesticos|10998|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
pilas electricas|paquete con 4 aa ultra power|duracell|accesorios domesticos|basicos|699|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
detergente p/trastes|botella 900 ml liquido limon|axion|detergentes y productos similares|basicos|175|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
detergente p/ropa|botella 1 lt liquido|mas blanco|detergentes y productos similares|basicos|34|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
detergente p/ropa|botella 1 lt liquido delicada|vel rosita|detergentes y productos similares|basicos|3615|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
